year,state,month,number,date
2010,Rio,April,250,1/1/2010
2011,Rio,April,449,1/1/2011
2012,Rio,April,113,1/1/2012
2013,Rio,April,290,1/1/2013
2014,Rio,April,224,1/1/2014
2015,Rio,April,222,1/1/2015
2016,Rio,April,628,1/1/2016
2017,Rio,April,343,1/1/2017
1998,Rio,April,169,1/1/1998
1999,Rio,April,56,1/1/1999
2000,Rio,April,10,1/1/2000
2001,Rio,April,13,1/1/2001
2002,Rio,April,10,1/1/2002
2003,Rio,April,360,1/1/2003
2004,Rio,April,680,1/1/2004
2005,Rio,April,83,1/1/2005
2006,Rio,April,160,1/1/2006
2007,Rio,April,21,1/1/2007
2008,Rio,April,135,1/1/2008
2009,Rio,April,148,1/1/2009
2010,Rio,April,95,1/1/2010
2011,Rio,April,74,1/1/2011
2012,Rio,April,91,1/1/2012
2013,Rio,April,104,1/1/2013
2014,Rio,April,110,1/1/2014
2015,Rio,April,70,1/1/2015
2016,Rio,April,93,1/1/2016
2017,Rio,April,101,1/1/2017
1998,Rio,April,28,1/1/1998
1999,Rio,April,103,1/1/1999
2000,Rio,April,18,1/1/2000
2001,Rio,April,49,1/1/2001
2002,Rio,April,117,1/1/2002
2003,Rio,April,121,1/1/2003
2004,Rio,April,161,1/1/2004
2005,Rio,April,227,1/1/2005
2006,Rio,April,27,1/1/2006
2007,Rio,April,13,1/1/2007
2008,Rio,April,14,1/1/2008
2009,Rio,April,4,1/1/2009
2010,Rio,April,90,1/1/2010
2011,Rio,April,117,1/1/2011
2012,Rio,April,74,1/1/2012
2013,Rio,April,110,1/1/2013
2014,Rio,April,68,1/1/2014
2015,Rio,April,30,1/1/2015
2016,Rio,April,105,1/1/2016
2017,Rio,April,137,1/1/2017
1998,Rio,April,605,1/1/1998
1999,Rio,April,1.11,1/1/1999
2000,Rio,April,80,1/1/2000
2001,Rio,April,80,1/1/2001
2002,Rio,April,45,1/1/2002
2003,Rio,April,98,1/1/2003
2004,Rio,April,99,1/1/2004
2005,Rio,April,35,1/1/2005
2006,Rio,April,15,1/1/2006
2007,Rio,April,25,1/1/2007
2008,Rio,April,32,1/1/2008
2009,Rio,April,15,1/1/2009
2010,Rio,April,103,1/1/2010
2011,Rio,April,69,1/1/2011
2012,Rio,April,38,1/1/2012
2013,Rio,April,62,1/1/2013
2014,Rio,April,31,1/1/2014
2015,Rio,April,42,1/1/2015
2016,Rio,April,79,1/1/2016
1998,Rondonia,April,0,1/1/1998
1999,Rondonia,April,1,1/1/1999
2000,Rondonia,April,0,1/1/2000
2001,Rondonia,April,0,1/1/2001
2002,Rondonia,April,6,1/1/2002
2003,Rondonia,April,62,1/1/2003
2004,Rondonia,April,30,1/1/2004
2005,Rondonia,April,99,1/1/2005
2006,Rondonia,April,16,1/1/2006
2007,Rondonia,April,33,1/1/2007
2008,Rondonia,April,4,1/1/2008
2009,Rondonia,April,17,1/1/2009
2010,Rondonia,April,18,1/1/2010
2011,Rondonia,April,1,1/1/2011
2012,Rondonia,April,2,1/1/2012
2013,Rondonia,April,7,1/1/2013
2014,Rondonia,April,12,1/1/2014
2015,Rondonia,April,30,1/1/2015
2016,Rondonia,April,93,1/1/2016
2017,Rondonia,April,44,1/1/2017
1998,Rondonia,April,0,1/1/1998
1999,Rondonia,April,1,1/1/1999
2000,Rondonia,April,6,1/1/2000
2001,Rondonia,April,2,1/1/2001
2002,Rondonia,April,8,1/1/2002
2003,Rondonia,April,10,1/1/2003
2004,Rondonia,April,12,1/1/2004
2005,Rondonia,April,42,1/1/2005
2006,Rondonia,April,17,1/1/2006
2007,Rondonia,April,8,1/1/2007
2008,Rondonia,April,7,1/1/2008
2009,Rondonia,April,1,1/1/2009
2010,Rondonia,April,9,1/1/2010
2011,Rondonia,April,2,1/1/2011
2012,Rondonia,April,9,1/1/2012
2013,Rondonia,April,8,1/1/2013
2014,Rondonia,April,5,1/1/2014
2015,Rondonia,April,22,1/1/2015
2016,Rondonia,April,88,1/1/2016
2017,Rondonia,April,10,1/1/2017
1998,Rondonia,April,0,1/1/1998
1999,Rondonia,April,8,1/1/1999
2000,Rondonia,April,9,1/1/2000
2001,Rondonia,April,0,1/1/2001
2002,Rondonia,April,1,1/1/2002
2003,Rondonia,April,13,1/1/2003
2004,Rondonia,April,20,1/1/2004
2005,Rondonia,April,17,1/1/2005
2006,Rondonia,April,15,1/1/2006
2007,Rondonia,April,20,1/1/2007
2008,Rondonia,April,2,1/1/2008
2009,Rondonia,April,12,1/1/2009
2010,Rondonia,April,11,1/1/2010
2011,Rondonia,April,6,1/1/2011
2012,Rondonia,April,6,1/1/2012
2013,Rondonia,April,23,1/1/2013
2014,Rondonia,April,13,1/1/2014
2015,Rondonia,April,15,1/1/2015
2016,Rondonia,April,25,1/1/2016
2017,Rondonia,April,21,1/1/2017
1998,Rondonia,April,0,1/1/1998
1999,Rondonia,April,3,1/1/1999
2000,Rondonia,April,0,1/1/2000
2001,Rondonia,April,0,1/1/2001
2002,Rondonia,April,3,1/1/2002
2003,Rondonia,April,10,1/1/2003
2004,Rondonia,April,14,1/1/2004
2005,Rondonia,April,7,1/1/2005
2006,Rondonia,April,0,1/1/2006
2007,Rondonia,April,0,1/1/2007
2008,Rondonia,April,8,1/1/2008
2009,Rondonia,April,3,1/1/2009
2010,Rondonia,April,19,1/1/2010
2011,Rondonia,April,8,1/1/2011
2012,Rondonia,April,12,1/1/2012
2013,Rondonia,April,9,1/1/2013
2014,Rondonia,April,15,1/1/2014
2015,Rondonia,April,15,1/1/2015
2016,Rondonia,April,59,1/1/2016
2017,Rondonia,April,19,1/1/2017
1998,Rondonia,April,0,1/1/1998
1999,Rondonia,April,3,1/1/1999
2000,Rondonia,April,13,1/1/2000
2001,Rondonia,April,5,1/1/2001
2002,Rondonia,April,10,1/1/2002
2003,Rondonia,April,21,1/1/2003
2004,Rondonia,April,9,1/1/2004
2005,Rondonia,April,38,1/1/2005
2006,Rondonia,April,7,1/1/2006
2007,Rondonia,April,4,1/1/2007
2008,Rondonia,April,1,1/1/2008
2009,Rondonia,April,6,1/1/2009
2010,Rondonia,April,41,1/1/2010
2011,Rondonia,April,54,1/1/2011
2012,Rondonia,April,22,1/1/2012
2013,Rondonia,April,9,1/1/2013
2014,Rondonia,April,28,1/1/2014
2015,Rondonia,April,13,1/1/2015
2016,Rondonia,April,44,1/1/2016
2017,Rondonia,April,31,1/1/2017
1998,Rondonia,April,26,1/1/1998
1999,Rondonia,April,10,1/1/1999
2000,Rondonia,April,54,1/1/2000
2001,Rondonia,April,31,1/1/2001
2002,Rondonia,April,141,1/1/2002
2003,Rondonia,April,74,1/1/2003
2004,Rondonia,April,151,1/1/2004
2005,Rondonia,April,153,1/1/2005
2006,Rondonia,April,40,1/1/2006
2007,Rondonia,April,71,1/1/2007
2008,Rondonia,April,11,1/1/2008
2009,Rondonia,April,13,1/1/2009
2010,Rondonia,April,44,1/1/2010
2011,Rondonia,April,130,1/1/2011
2012,Rondonia,April,32,1/1/2012
2013,Rondonia,April,22,1/1/2013
2014,Rondonia,April,92,1/1/2014
2015,Rondonia,April,119,1/1/2015
2016,Rondonia,April,170,1/1/2016
2017,Rondonia,April,192,1/1/2017
1998,Rondonia,April,365,1/1/1998
1999,Rondonia,April,135,1/1/1999
2000,Rondonia,April,117,1/1/2000
2001,Rondonia,April,74,1/1/2001
2002,Rondonia,April,539,1/1/2002
2003,Rondonia,April,516,1/1/2003
2004,Rondonia,April,1.233,1/1/2004
2005,Rondonia,April,798,1/1/2005
2006,Rondonia,April,314,1/1/2006
2007,Rondonia,April,187,1/1/2007
2008,Rondonia,April,138,1/1/2008
2009,Rondonia,April,110,1/1/2009
2010,Rondonia,April,747,1/1/2010
2011,Rondonia,April,293,1/1/2011
2012,Rondonia,April,205,1/1/2012
2013,Rondonia,April,117,1/1/2013
2014,Rondonia,April,192,1/1/2014
2015,Rondonia,April,423,1/1/2015
2016,Rondonia,April,969,1/1/2016
2017,Rondonia,April,1.28,1/1/2017
1998,Rondonia,April,2.254,1/1/1998
1999,Rondonia,April,1.976,1/1/1999
2000,Rondonia,April,2.197,1/1/2000
2001,Rondonia,April,2.132,1/1/2001
2002,Rondonia,April,3.465,1/1/2002
2003,Rondonia,April,7.06,1/1/2003
2004,Rondonia,April,6.893,1/1/2004
2005,Rondonia,April,6.672,1/1/2005
2006,Rondonia,April,3.124,1/1/2006
2007,Rondonia,April,4.786,1/1/2007
2008,Rondonia,April,1.251,1/1/2008
2009,Rondonia,April,484,1/1/2009
2010,Rondonia,April,4.388,1/1/2010
2011,Rondonia,April,1.161,1/1/2011
2012,Rondonia,April,2.209,1/1/2012
2013,Rondonia,April,885,1/1/2013
2014,Rondonia,April,3.038,1/1/2014
2015,Rondonia,April,3.762,1/1/2015
2016,Rondonia,April,3.675,1/1/2016
2017,Rondonia,April,4.287,1/1/2017
1998,Rondonia,April,3.753,1/1/1998
1999,Rondonia,April,3.062,1/1/1999
2000,Rondonia,April,2.438,1/1/2000
2001,Rondonia,April,1.927,1/1/2001
2002,Rondonia,April,7.067,1/1/2002
2003,Rondonia,April,6.89,1/1/2003
2004,Rondonia,April,13.05,1/1/2004
2005,Rondonia,April,13.972,1/1/2005
2006,Rondonia,April,9.92,1/1/2006
2007,Rondonia,April,6.832,1/1/2007
2008,Rondonia,April,3.726,1/1/2008
2009,Rondonia,April,1.869,1/1/2009
2010,Rondonia,April,4.893,1/1/2010
2011,Rondonia,April,1.782,1/1/2011
2012,Rondonia,April,2.471,1/1/2012
2013,Rondonia,April,1.776,1/1/2013
2014,Rondonia,April,2.8,1/1/2014
2015,Rondonia,April,6.129,1/1/2015
2016,Rondonia,April,4.208,1/1/2016
2017,Rondonia,April,5.638,1/1/2017
1998,Rondonia,April,483,1/1/1998
1999,Rondonia,April,1.884,1/1/1999
2000,Rondonia,April,644,1/1/2000
2001,Rondonia,April,796,1/1/2001
2002,Rondonia,April,3.554,1/1/2002
2003,Rondonia,April,4.962,1/1/2003
2004,Rondonia,April,3.094,1/1/2004
2005,Rondonia,April,2.559,1/1/2005
2006,Rondonia,April,1.148,1/1/2006
2007,Rondonia,April,2.023,1/1/2007
2008,Rondonia,April,1.482,1/1/2008
2009,Rondonia,April,1.444,1/1/2009
2010,Rondonia,April,1.307,1/1/2010
2011,Rondonia,April,822,1/1/2011
2012,Rondonia,April,1.229,1/1/2012
2013,Rondonia,April,555,1/1/2013
2014,Rondonia,April,1.063,1/1/2014
2015,Rondonia,April,2.598,1/1/2015
2016,Rondonia,April,1.844,1/1/2016
2017,Rondonia,April,2.19,1/1/2017
1998,Rondonia,April,3,1/1/1998
1999,Rondonia,April,41,1/1/1999
2000,Rondonia,April,13,1/1/2000
2001,Rondonia,April,91,1/1/2001
2002,Rondonia,April,639,1/1/2002
2003,Rondonia,April,526,1/1/2003
2004,Rondonia,April,452,1/1/2004
2005,Rondonia,April,465,1/1/2005
2006,Rondonia,April,253,1/1/2006
2007,Rondonia,April,53,1/1/2007
2008,Rondonia,April,78,1/1/2008
2009,Rondonia,April,128,1/1/2009
2010,Rondonia,April,238,1/1/2010
2011,Rondonia,April,245,1/1/2011
2012,Rondonia,April,174,1/1/2012
2013,Rondonia,April,108,1/1/2013
2014,Rondonia,April,202,1/1/2014
2015,Rondonia,April,1.002,1/1/2015
2016,Rondonia,April,401,1/1/2016
2017,Rondonia,April,372,1/1/2017
1998,Rondonia,April,33,1/1/1998
1999,Rondonia,April,0,1/1/1999
2000,Rondonia,April,7,1/1/2000
2001,Rondonia,April,1,1/1/2001
2002,Rondonia,April,91,1/1/2002
2003,Rondonia,April,214,1/1/2003
2004,Rondonia,April,208,1/1/2004
2005,Rondonia,April,36,1/1/2005
2006,Rondonia,April,4,1/1/2006
2007,Rondonia,April,6,1/1/2007
2008,Rondonia,April,2,1/1/2008
2009,Rondonia,April,9,1/1/2009
2010,Rondonia,April,158,1/1/2010
2011,Rondonia,April,37,1/1/2011
2012,Rondonia,April,50,1/1/2012
2013,Rondonia,April,143,1/1/2013
2014,Rondonia,April,144,1/1/2014
2015,Rondonia,April,282,1/1/2015
2016,Rondonia,April,148,1/1/2016
1998,Roraima,April,0,1/1/1998
1999,Roraima,April,15,1/1/1999
2000,Roraima,April,18,1/1/2000
2001,Roraima,April,101,1/1/2001
2002,Roraima,April,302,1/1/2002
2003,Roraima,April,547,1/1/2003
2004,Roraima,April,355,1/1/2004
2005,Roraima,April,106,1/1/2005
2006,Roraima,April,70,1/1/2006
2007,Roraima,April,194,1/1/2007
2008,Roraima,April,245,1/1/2008
2009,Roraima,April,45,1/1/2009
2010,Roraima,April,351,1/1/2010
2011,Roraima,April,225,1/1/2011
2012,Roraima,April,217,1/1/2012
2013,Roraima,April,397,1/1/2013
2014,Roraima,April,355,1/1/2014
2015,Roraima,April,330,1/1/2015
2016,Roraima,April,1.754,1/1/2016
2017,Roraima,April,108,1/1/2017
1998,Roraima,April,0,1/1/1998
1999,Roraima,April,20,1/1/1999
2000,Roraima,April,57,1/1/2000
2001,Roraima,April,646,1/1/2001
2002,Roraima,April,476,1/1/2002
2003,Roraima,April,767,1/1/2003
2004,Roraima,April,259,1/1/2004
2005,Roraima,April,105,1/1/2005
2006,Roraima,April,283,1/1/2006
2007,Roraima,April,796,1/1/2007
2008,Roraima,April,138,1/1/2008
2009,Roraima,April,153,1/1/2009
2010,Roraima,April,470,1/1/2010
2011,Roraima,April,112,1/1/2011
2012,Roraima,April,130,1/1/2012
2013,Roraima,April,62,1/1/2013
2014,Roraima,April,226,1/1/2014
2015,Roraima,April,418,1/1/2015
2016,Roraima,April,171,1/1/2016
2017,Roraima,April,129,1/1/2017
1998,Roraima,April,0,1/1/1998
1999,Roraima,April,98,1/1/1999
2000,Roraima,April,125,1/1/2000
2001,Roraima,April,1.108,1/1/2001
2002,Roraima,April,820,1/1/2002
2003,Roraima,April,1.131,1/1/2003
2004,Roraima,April,276,1/1/2004
2005,Roraima,April,244,1/1/2005
2006,Roraima,April,385,1/1/2006
2007,Roraima,April,665,1/1/2007
2008,Roraima,April,422,1/1/2008
2009,Roraima,April,176,1/1/2009
2010,Roraima,April,417,1/1/2010
2011,Roraima,April,91,1/1/2011
2012,Roraima,April,99,1/1/2012
2013,Roraima,April,179,1/1/2013
2014,Roraima,April,494,1/1/2014
2015,Roraima,April,163,1/1/2015
2016,Roraima,April,1.081,1/1/2016
2017,Roraima,April,216,1/1/2017
1998,Roraima,April,0,1/1/1998
1999,Roraima,April,16,1/1/1999
2000,Roraima,April,0,1/1/2000
2001,Roraima,April,380,1/1/2001
2002,Roraima,April,41,1/1/2002
2003,Roraima,April,268,1/1/2003
2004,Roraima,April,182,1/1/2004
2005,Roraima,April,22,1/1/2005
2006,Roraima,April,201,1/1/2006
2007,Roraima,April,58,1/1/2007
2008,Roraima,April,175,1/1/2008
2009,Roraima,April,115,1/1/2009
2010,Roraima,April,15,1/1/2010
2011,Roraima,April,108,1/1/2011
2012,Roraima,April,25,1/1/2012
2013,Roraima,April,87,1/1/2013
2014,Roraima,April,162,1/1/2014
2015,Roraima,April,278,1/1/2015
2016,Roraima,April,126,1/1/2016
2017,Roraima,April,51,1/1/2017
1998,Roraima,April,0,1/1/1998
1999,Roraima,April,0,1/1/1999
2000,Roraima,April,7,1/1/2000
2001,Roraima,April,9,1/1/2001
2002,Roraima,April,0,1/1/2002
2003,Roraima,April,0,1/1/2003
2004,Roraima,April,2,1/1/2004
2005,Roraima,April,1,1/1/2005
2006,Roraima,April,0,1/1/2006
2007,Roraima,April,0,1/1/2007
2008,Roraima,April,8,1/1/2008
2009,Roraima,April,219,1/1/2009
2010,Roraima,April,3,1/1/2010
2011,Roraima,April,4,1/1/2011
2012,Roraima,April,18,1/1/2012
2013,Roraima,April,4,1/1/2013
2014,Roraima,April,58,1/1/2014
2015,Roraima,April,12,1/1/2015
2016,Roraima,April,22,1/1/2016
2017,Roraima,April,29,1/1/2017
1998,Roraima,April,0,1/1/1998
1999,Roraima,April,3,1/1/1999
2000,Roraima,April,0,1/1/2000
2001,Roraima,April,1,1/1/2001
2002,Roraima,April,0,1/1/2002
2003,Roraima,April,0,1/1/2003
2004,Roraima,April,6,1/1/2004
2005,Roraima,April,5,1/1/2005
2006,Roraima,April,0,1/1/2006
2007,Roraima,April,1,1/1/2007
2008,Roraima,April,0,1/1/2008
2009,Roraima,April,16,1/1/2009
2010,Roraima,April,0,1/1/2010
2011,Roraima,April,6,1/1/2011
2012,Roraima,April,22,1/1/2012
2013,Roraima,April,6,1/1/2013
2014,Roraima,April,4,1/1/2014
2015,Roraima,April,3,1/1/2015
2016,Roraima,April,7,1/1/2016
2017,Roraima,April,4,1/1/2017
1998,Roraima,April,1,1/1/1998
1999,Roraima,April,4,1/1/1999
2000,Roraima,April,0,1/1/2000
2001,Roraima,April,1,1/1/2001
2002,Roraima,April,7,1/1/2002
2003,Roraima,April,0,1/1/2003
2004,Roraima,April,2,1/1/2004
2005,Roraima,April,2,1/1/2005
2006,Roraima,April,0,1/1/2006
2007,Roraima,April,3,1/1/2007
2008,Roraima,April,0,1/1/2008
2009,Roraima,April,18,1/1/2009
2010,Roraima,April,1,1/1/2010
2011,Roraima,April,9,1/1/2011
2012,Roraima,April,2,1/1/2012
2013,Roraima,April,4,1/1/2013
2014,Roraima,April,9,1/1/2014
2015,Roraima,April,5,1/1/2015
2016,Roraima,April,0,1/1/2016
2017,Roraima,April,3,1/1/2017
1998,Roraima,April,0,1/1/1998
1999,Roraima,April,1,1/1/1999
2000,Roraima,April,9,1/1/2000
2001,Roraima,April,4,1/1/2001
2002,Roraima,April,7,1/1/2002
2003,Roraima,April,2,1/1/2003
2004,Roraima,April,18,1/1/2004
2005,Roraima,April,9,1/1/2005
2006,Roraima,April,4,1/1/2006
2007,Roraima,April,2,1/1/2007
2008,Roraima,April,4,1/1/2008
2009,Roraima,April,29,1/1/2009
2010,Roraima,April,3,1/1/2010
2011,Roraima,April,39,1/1/2011
2012,Roraima,April,4,1/1/2012
2013,Roraima,April,3,1/1/2013
2014,Roraima,April,12,1/1/2014
2015,Roraima,April,11,1/1/2015
2016,Roraima,April,11,1/1/2016
2017,Roraima,April,35,1/1/2017
1998,Roraima,April,2,1/1/1998
1999,Roraima,April,3,1/1/1999
2000,Roraima,April,12,1/1/2000
2001,Roraima,April,1,1/1/2001
2002,Roraima,April,48,1/1/2002
2003,Roraima,April,6,1/1/2003
2004,Roraima,April,9,1/1/2004
2005,Roraima,April,72,1/1/2005
2006,Roraima,April,40,1/1/2006
2007,Roraima,April,9,1/1/2007
2008,Roraima,April,17,1/1/2008
2009,Roraima,April,117,1/1/2009
2010,Roraima,April,18,1/1/2010
2011,Roraima,April,53,1/1/2011
2012,Roraima,April,67,1/1/2012
2013,Roraima,April,18,1/1/2013
2014,Roraima,April,67,1/1/2014
2015,Roraima,April,77,1/1/2015
2016,Roraima,April,19,1/1/2016
2017,Roraima,April,43,1/1/2017
1998,Roraima,April,1,1/1/1998
1999,Roraima,April,10,1/1/1999
2000,Roraima,April,25,1/1/2000
2001,Roraima,April,13,1/1/2001
2002,Roraima,April,191,1/1/2002
2003,Roraima,April,14,1/1/2003
2004,Roraima,April,53,1/1/2004
2005,Roraima,April,88,1/1/2005
2006,Roraima,April,135,1/1/2006
2007,Roraima,April,15,1/1/2007
2008,Roraima,April,78,1/1/2008
2009,Roraima,April,197,1/1/2009
2010,Roraima,April,64,1/1/2010
2011,Roraima,April,65,1/1/2011
2012,Roraima,April,152,1/1/2012
2013,Roraima,April,63,1/1/2013
2014,Roraima,April,61,1/1/2014
2015,Roraima,April,181,1/1/2015
2016,Roraima,April,101,1/1/2016
2017,Roraima,April,156,1/1/2017
1998,Roraima,April,1,1/1/1998
1999,Roraima,April,15,1/1/1999
2000,Roraima,April,32,1/1/2000
2001,Roraima,April,76,1/1/2001
2002,Roraima,April,133,1/1/2002
2003,Roraima,April,27,1/1/2003
2004,Roraima,April,135,1/1/2004
2005,Roraima,April,135,1/1/2005
2006,Roraima,April,26,1/1/2006
2007,Roraima,April,112,1/1/2007
2008,Roraima,April,39,1/1/2008
2009,Roraima,April,312,1/1/2009
2010,Roraima,April,27,1/1/2010
2011,Roraima,April,121,1/1/2011
2012,Roraima,April,187,1/1/2012
2013,Roraima,April,106,1/1/2013
2014,Roraima,April,143,1/1/2014
2015,Roraima,April,280,1/1/2015
2016,Roraima,April,71,1/1/2016
2017,Roraima,April,327,1/1/2017
1998,Roraima,April,16,1/1/1998
1999,Roraima,April,35,1/1/1999
2000,Roraima,April,77,1/1/2000
2001,Roraima,April,76,1/1/2001
2002,Roraima,April,199,1/1/2002
2003,Roraima,April,157,1/1/2003
2004,Roraima,April,160,1/1/2004
2005,Roraima,April,71,1/1/2005
2006,Roraima,April,101,1/1/2006
2007,Roraima,April,8,1/1/2007
2008,Roraima,April,5,1/1/2008
2009,Roraima,April,290,1/1/2009
2010,Roraima,April,73,1/1/2010
2011,Roraima,April,249,1/1/2011
2012,Roraima,April,78,1/1/2012
2013,Roraima,April,65,1/1/2013
2014,Roraima,April,277,1/1/2014
2015,Roraima,April,304,1/1/2015
2016,Roraima,April,136,1/1/2016
1998,Santa Catarina,April,0,1/1/1998
1999,Santa Catarina,April,11,1/1/1999
2000,Santa Catarina,April,14,1/1/2000
2001,Santa Catarina,April,11,1/1/2001
2002,Santa Catarina,April,22,1/1/2002
2003,Santa Catarina,April,45,1/1/2003
2004,Santa Catarina,April,37,1/1/2004
2005,Santa Catarina,April,46,1/1/2005
2006,Santa Catarina,April,41,1/1/2006
2007,Santa Catarina,April,9,1/1/2007
2008,Santa Catarina,April,25,1/1/2008
2009,Santa Catarina,April,21,1/1/2009
2010,Santa Catarina,April,2,1/1/2010
2011,Santa Catarina,April,9,1/1/2011
2012,Santa Catarina,April,14,1/1/2012
2013,Santa Catarina,April,18,1/1/2013
2014,Santa Catarina,April,58,1/1/2014
2015,Santa Catarina,April,28,1/1/2015
2016,Santa Catarina,April,53,1/1/2016
2017,Santa Catarina,April,46,1/1/2017
1998,Santa Catarina,April,0,1/1/1998
1999,Santa Catarina,April,2,1/1/1999
2000,Santa Catarina,April,8,1/1/2000
2001,Santa Catarina,April,0,1/1/2001
2002,Santa Catarina,April,5,1/1/2002
2003,Santa Catarina,April,43,1/1/2003
2004,Santa Catarina,April,29,1/1/2004
2005,Santa Catarina,April,46,1/1/2005
2006,Santa Catarina,April,18,1/1/2006
2007,Santa Catarina,April,14,1/1/2007
2008,Santa Catarina,April,29,1/1/2008
2009,Santa Catarina,April,7,1/1/2009
2010,Santa Catarina,April,15,1/1/2010
2011,Santa Catarina,April,1,1/1/2011
2012,Santa Catarina,April,13,1/1/2012
2013,Santa Catarina,April,12,1/1/2013
2014,Santa Catarina,April,27,1/1/2014
2015,Santa Catarina,April,23,1/1/2015
2016,Santa Catarina,April,10,1/1/2016
2017,Santa Catarina,April,31,1/1/2017
1998,Santa Catarina,April,0,1/1/1998
1999,Santa Catarina,April,7,1/1/1999
2000,Santa Catarina,April,46,1/1/2000
2001,Santa Catarina,April,1,1/1/2001
2002,Santa Catarina,April,12,1/1/2002
2003,Santa Catarina,April,58,1/1/2003
2004,Santa Catarina,April,73,1/1/2004
2005,Santa Catarina,April,92,1/1/2005
2006,Santa Catarina,April,48,1/1/2006
2007,Santa Catarina,April,23,1/1/2007
2008,Santa Catarina,April,14,1/1/2008
2009,Santa Catarina,April,33,1/1/2009
2010,Santa Catarina,April,9,1/1/2010
2011,Santa Catarina,April,8,1/1/2011
2012,Santa Catarina,April,65,1/1/2012
2013,Santa Catarina,April,14,1/1/2013
2014,Santa Catarina,April,15,1/1/2014
2015,Santa Catarina,April,37,1/1/2015
2016,Santa Catarina,April,21,1/1/2016
2017,Santa Catarina,April,12,1/1/2017
1998,Santa Catarina,April,0,1/1/1998
1999,Santa Catarina,April,0,1/1/1999
2000,Santa Catarina,April,7,1/1/2000
2001,Santa Catarina,April,1,1/1/2001
2002,Santa Catarina,April,7,1/1/2002
2003,Santa Catarina,April,120,1/1/2003
2004,Santa Catarina,April,59,1/1/2004
2005,Santa Catarina,April,25,1/1/2005
2006,Santa Catarina,April,30,1/1/2006
2007,Santa Catarina,April,2,1/1/2007
2008,Santa Catarina,April,31,1/1/2008
2009,Santa Catarina,April,57,1/1/2009
2010,Santa Catarina,April,19,1/1/2010
2011,Santa Catarina,April,5,1/1/2011
2012,Santa Catarina,April,40,1/1/2012
2013,Santa Catarina,April,46,1/1/2013
2014,Santa Catarina,April,34,1/1/2014
2015,Santa Catarina,April,32,1/1/2015
2016,Santa Catarina,April,36,1/1/2016
2017,Santa Catarina,April,26,1/1/2017
1998,Santa Catarina,April,0,1/1/1998
1999,Santa Catarina,April,1,1/1/1999
2000,Santa Catarina,April,0,1/1/2000
2001,Santa Catarina,April,2,1/1/2001
2002,Santa Catarina,April,3,1/1/2002
2003,Santa Catarina,April,84,1/1/2003
2004,Santa Catarina,April,2,1/1/2004
2005,Santa Catarina,April,21,1/1/2005
2006,Santa Catarina,April,33,1/1/2006
2007,Santa Catarina,April,2,1/1/2007
2008,Santa Catarina,April,15,1/1/2008
2009,Santa Catarina,April,33,1/1/2009
2010,Santa Catarina,April,1,1/1/2010
2011,Santa Catarina,April,16,1/1/2011
2012,Santa Catarina,April,60,1/1/2012
2013,Santa Catarina,April,52,1/1/2013
2014,Santa Catarina,April,42,1/1/2014
2015,Santa Catarina,April,70,1/1/2015
2016,Santa Catarina,April,26,1/1/2016
2017,Santa Catarina,April,36,1/1/2017
1998,Santa Catarina,April,2,1/1/1998
1999,Santa Catarina,April,0,1/1/1999
2000,Santa Catarina,April,2,1/1/2000
2001,Santa Catarina,April,1,1/1/2001
2002,Santa Catarina,April,0,1/1/2002
2003,Santa Catarina,April,68,1/1/2003
2004,Santa Catarina,April,127,1/1/2004
2005,Santa Catarina,April,58,1/1/2005
2006,Santa Catarina,April,32,1/1/2006
2007,Santa Catarina,April,11,1/1/2007
2008,Santa Catarina,April,2,1/1/2008
2009,Santa Catarina,April,14,1/1/2009
2010,Santa Catarina,April,1,1/1/2010
2011,Santa Catarina,April,26,1/1/2011
2012,Santa Catarina,April,42,1/1/2012
2013,Santa Catarina,April,31,1/1/2013
2014,Santa Catarina,April,3,1/1/2014
2015,Santa Catarina,April,104,1/1/2015
2016,Santa Catarina,April,79,1/1/2016
2017,Santa Catarina,April,70,1/1/2017
1998,Santa Catarina,April,0,1/1/1998
1999,Santa Catarina,April,2,1/1/1999
2000,Santa Catarina,April,21,1/1/2000
2001,Santa Catarina,April,5,1/1/2001
2002,Santa Catarina,April,82,1/1/2002
2003,Santa Catarina,April,43,1/1/2003
2004,Santa Catarina,April,94,1/1/2004
2005,Santa Catarina,April,90,1/1/2005
2006,Santa Catarina,April,74,1/1/2006
2007,Santa Catarina,April,12,1/1/2007
2008,Santa Catarina,April,46,1/1/2008
2009,Santa Catarina,April,26,1/1/2009
2010,Santa Catarina,April,31,1/1/2010
2011,Santa Catarina,April,31,1/1/2011
2012,Santa Catarina,April,42,1/1/2012
2013,Santa Catarina,April,69,1/1/2013
2014,Santa Catarina,April,82,1/1/2014
2015,Santa Catarina,April,45,1/1/2015
2016,Santa Catarina,April,480,1/1/2016
2017,Santa Catarina,April,591,1/1/2017
1998,Santa Catarina,April,0,1/1/1998
1999,Santa Catarina,April,51,1/1/1999
2000,Santa Catarina,April,69,1/1/2000
2001,Santa Catarina,April,24,1/1/2001
2002,Santa Catarina,April,702,1/1/2002
2003,Santa Catarina,April,1.513,1/1/2003
2004,Santa Catarina,April,728,1/1/2004
2005,Santa Catarina,April,391,1/1/2005
2006,Santa Catarina,April,728,1/1/2006
2007,Santa Catarina,April,462,1/1/2007
2008,Santa Catarina,April,51,1/1/2008
